x	y	line_id
60.407	136.646	0082-0122
60.331	136.711	0082-0122
60.243	136.759	0082-0122
60.154	136.805	0082-0122
60.066	136.852	0082-0122
59.978	136.899	0082-0122
59.889	136.945	0082-0122
59.801	136.992	0082-0122
59.712	137.039	0082-0122
59.624	137.085	0082-0122
59.535	137.132	0082-0122
59.447	137.179	0082-0122
59.358	137.225	0082-0122
59.270	137.272	0082-0122
59.182	137.319	0082-0122
59.093	137.365	0082-0122
59.005	137.412	0082-0122
58.916	137.459	0082-0122
58.828	137.505	0082-0122
58.739	137.552	0082-0122
58.651	137.599	0082-0122
58.563	137.646	0082-0122
58.474	137.692	0082-0122
58.386	137.739	0082-0122
58.297	137.786	0082-0122
58.209	137.832	0082-0122
58.120	137.879	0082-0122
58.032	137.926	0082-0122
57.943	137.972	0082-0122
57.855	138.019	0082-0122
57.767	138.066	0082-0122
57.678	138.112	0082-0122
57.590	138.159	0082-0122
57.501	138.206	0082-0122
57.413	138.252	0082-0122
57.324	138.299	0082-0122
57.236	138.346	0082-0122
57.148	138.392	0082-0122
57.059	138.439	0082-0122
56.971	138.486	0082-0122
56.882	138.532	0082-0122
56.794	138.579	0082-0122
56.705	138.626	0082-0122
56.617	138.672	0082-0122
56.528	138.719	0082-0122
56.440	138.766	0082-0122
56.352	138.812	0082-0122
56.263	138.859	0082-0122
56.175	138.906	0082-0122
56.086	138.952	0082-0122
55.998	138.999	0082-0122
55.909	139.046	0082-0122
55.821	139.092	0082-0122
55.733	139.139	0082-0122
55.644	139.186	0082-0122
55.556	139.232	0082-0122
55.467	139.279	0082-0122
55.379	139.326	0082-0122
55.290	139.373	0082-0122
55.202	139.419	0082-0122
55.113	139.466	0082-0122
55.025	139.513	0082-0122
54.937	139.559	0082-0122
54.848	139.606	0082-0122
54.760	139.653	0082-0122
54.671	139.699	0082-0122
54.583	139.746	0082-0122
54.494	139.793	0082-0122
54.406	139.839	0082-0122
54.317	139.886	0082-0122
54.229	139.933	0082-0122
54.141	139.979	0082-0122
54.052	140.026	0082-0122
53.964	140.073	0082-0122
